22.60, 87.85, 66.04
22.70, 102.20, 68.58
22.70, 87.85, 27.94
22.88, 98.98, 73.66
22.60, 102.20, 45.72
22.70, 105.63, 91.44
22.79, 102.20, 170.18
22.20, 80.96, 83.82
22.51, 64.66, 88.90
22.51, 60.12, 30.48
22.79, 75.96, 33.02
22.39, 84.27, 63.50
22.51, 82.04, 60.96
22.29, 83.14, 48.26
22.51, 85.43, 45.72
22.60, 84.27, 45.72
22.51, 80.96, 10.16
22.39, 85.43, 167.64
22.51, 89.11, 38.10
22.70, 97.45, 106.68
22.51, 83.14, 35.56
22.51, 66.07, 15.24
22.51, 85.43, 81.28
22.39, 87.85, 45.72
22.51, 102.20, 33.02
22.79, 102.20, 187.96
22.29, 90.40, 76.20
22.39, 86.63, 50.80
21.89, 82.04, 68.58
22.51, 98.98, 58.42
22.29, 82.04, 68.58
22.39, 90.40, 60.96
22.29, 78.89, 30.48
22.29, 75.03, 22.86
22.60, 86.63, 60.96
22.29, 102.20, 55.88
22.29, 98.98, 109.22
22.29, 89.11, 114.30
21.89, 87.85, 48.26
22.11, 89.11, 7.62
22.11, 89.11, 0.00
22.39, 94.51, 15.24
22.29, 89.11, 71.12
22.20, 95.96, 86.36
22.51, 102.20, 187.96
22.29, 94.51, 139.70
22.39, 87.85, 81.28
22.29, 79.91, 63.50
22.39, 91.73, 81.28
